Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,All,2-19,All,Calcium,919.7,24.1,967.2,872.2,,,,
1999-2000,All,2-19,Non-Hispanic White,Calcium,999.2,34.3,1067.0,931.5,,,,
1999-2000,All,2-19,Non-Hispanic Black,Calcium,751.5,30.6,812.0,691.0,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Calcium,830.8,23.8,877.9,783.7,,,,
1999-2000,All,2-5,All,Calcium,821.3,38.2,745.9,896.7,,,,
1999-2000,All,6-11,All,Calcium,894.1,32.1,830.8,957.5,,,,
1999-2000,All,12-19,All,Calcium,919.7,24.1,872.2,967.2,,,,
1999-2000,All,20 and over,All,Calcium,843.2,15.6,873.9,812.4,,,,
1999-2000,All,20 and over,Non-Hispanic White,Calcium,898.1,24.6,946.8,849.4,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Calcium,645.5,22.8,690.5,600.4,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Calcium,784.9,25.2,834.7,735.1,,,,
1999-2000,All,20-29,All,Calcium,914.7,24.3,866.8,962.6,,,,
1999-2000,All,30-39,All,Calcium,885.0,32.2,821.3,948.7,,,,
1999-2000,All,40-49,All,Calcium,872.4,39.3,794.7,950.0,,,,
1999-2000,All,50-59,All,Calcium,816.8,34.9,747.9,885.6,,,,
1999-2000,All,60-69,All,Calcium,715.9,22.9,670.6,761.2,,,,
1999-2000,All,70 and over,All,Calcium,738.8,24.2,691.0,786.5,,,,
1999-2000,Female,2-19,All,Calcium,781.7,20.5,822.2,741.2,,,,
1999-2000,Female,2-5,All,Calcium,742.0,32.2,678.4,805.6,,,,
1999-2000,Female,6-11,All,Calcium,878.2,45.5,788.3,968.1,,,,
1999-2000,Female,12-19,All,Calcium,781.7,20.5,741.2,822.2,,,,
1999-2000,Female,20 and over,All,Calcium,738.5,20.6,779.2,697.7,,,,
1999-2000,Female,20-29,All,Calcium,821.4,47.4,727.7,915.1,,,,
1999-2000,Female,30-39,All,Calcium,738.0,21.5,695.6,780.4,,,,
1999-2000,Female,40-49,All,Calcium,728.1,32.5,664.0,792.3,,,,
1999-2000,Female,50-59,All,Calcium,756.4,53.3,651.2,861.6,,,,
1999-2000,Female,60-69,All,Calcium,674.6,27.4,620.5,728.6,,,,
1999-2000,Female,70 and over,All,Calcium,661.5,23.4,615.2,707.8,,,,
1999-2000,Male,2-19,All,Calcium,1051.9,36.7,1124.4,979.5,,,,
1999-2000,Male,2-5,All,Calcium,902.5,53.8,796.3,1008.7,,,,
1999-2000,Male,6-11,All,Calcium,908.4,46.1,817.4,999.4,,,,
1999-2000,Male,12-19,All,Calcium,1051.9,36.7,979.5,1124.4,,,,
1999-2000,Male,20 and over,All,Calcium,957.5,15.1,987.3,927.8,,,,
1999-2000,Male,20-29,All,Calcium,1010.2,45.0,921.2,1099.2,,,,
1999-2000,Male,30-39,All,Calcium,1039.9,57.1,927.0,1152.8,,,,
1999-2000,Male,40-49,All,Calcium,1034.6,55.8,924.3,1144.8,,,,
1999-2000,Male,50-59,All,Calcium,876.0,37.2,802.6,949.5,,,,
1999-2000,Male,60-69,All,Calcium,762.6,31.4,700.5,824.7,,,,
1999-2000,Male,70 and over,All,Calcium,847.5,34.4,779.5,915.6,,,,
1999-2000,All,2-19,All,Dietary Fiber,13.3,0.5,14.3,12.4,,,,
1999-2000,All,2-19,Non-Hispanic White,Dietary Fiber,13.8,0.5,14.8,12.9,,,,
1999-2000,All,2-19,Non-Hispanic Black,Dietary Fiber,11.5,0.5,12.4,10.6,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Dietary Fiber,13.6,0.4,14.4,12.8,,,,
1999-2000,All,2-5,All,Dietary Fiber,10.7,0.3,10.2,11.2,,,,
1999-2000,All,6-11,All,Dietary Fiber,12.8,0.4,11.9,13.6,,,,
1999-2000,All,12-19,All,Dietary Fiber,13.3,0.5,12.4,14.3,,,,
1999-2000,All,20 and over,All,Dietary Fiber,15.7,0.4,16.6,14.8,,,,
1999-2000,All,20 and over,Non-Hispanic White,Dietary Fiber,16.1,0.6,17.2,15.0,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Dietary Fiber,12.5,0.4,13.3,11.7,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Dietary Fiber,18.2,0.7,19.6,16.7,,,,
1999-2000,All,20-29,All,Dietary Fiber,14.3,0.5,13.3,15.2,,,,
1999-2000,All,30-39,All,Dietary Fiber,15.5,0.8,14.0,17.0,,,,
1999-2000,All,40-49,All,Dietary Fiber,16.7,0.8,15.2,18.3,,,,
1999-2000,All,50-59,All,Dietary Fiber,16.3,1.0,14.2,18.3,,,,
1999-2000,All,60-69,All,Dietary Fiber,16.3,0.6,15.1,17.5,,,,
1999-2000,All,70 and over,All,Dietary Fiber,15.5,0.6,14.3,16.7,,,,
1999-2000,Female,2-19,All,Dietary Fiber,11.7,0.3,12.3,11.1,,,,
1999-2000,Female,2-5,All,Dietary Fiber,10.0,0.3,9.3,10.7,,,,
1999-2000,Female,6-11,All,Dietary Fiber,12.1,0.5,11.2,13.0,,,,
1999-2000,Female,12-19,All,Dietary Fiber,11.7,0.3,11.1,12.3,,,,
1999-2000,Female,20 and over,All,Dietary Fiber,13.9,0.6,15.1,12.8,,,,
1999-2000,Female,20-29,All,Dietary Fiber,12.9,0.6,11.6,14.1,,,,
1999-2000,Female,30-39,All,Dietary Fiber,13.6,1.2,11.3,15.9,,,,
1999-2000,Female,40-49,All,Dietary Fiber,14.9,0.9,13.1,16.7,,,,
1999-2000,Female,50-59,All,Dietary Fiber,14.4,1.3,11.9,16.9,,,,
1999-2000,Female,60-69,All,Dietary Fiber,14.4,0.8,12.8,16.1,,,,
1999-2000,Female,70 and over,All,Dietary Fiber,13.5,0.7,12.2,14.8,,,,
1999-2000,Male,2-19,All,Dietary Fiber,14.9,0.8,16.5,13.3,,,,
1999-2000,Male,2-5,All,Dietary Fiber,11.5,0.5,10.4,12.5,,,,
1999-2000,Male,6-11,All,Dietary Fiber,13.4,0.8,11.9,14.9,,,,
1999-2000,Male,12-19,All,Dietary Fiber,14.9,0.8,13.3,16.5,,,,
1999-2000,Male,20 and over,All,Dietary Fiber,17.6,0.5,18.5,16.8,,,,
1999-2000,Male,20-29,All,Dietary Fiber,15.7,0.8,14.2,17.3,,,,
1999-2000,Male,30-39,All,Dietary Fiber,17.6,0.9,15.8,19.3,,,,
1999-2000,Male,40-49,All,Dietary Fiber,18.8,1.1,16.7,20.9,,,,
1999-2000,Male,50-59,All,Dietary Fiber,18.1,1.2,15.8,20.4,,,,
1999-2000,Male,60-69,All,Dietary Fiber,18.4,0.7,17.0,19.8,,,,
1999-2000,Male,70 and over,All,Dietary Fiber,18.3,0.8,16.7,19.8,,,,
1999-2000,All,2-19,All,Iron,15.6,0.6,16.8,14.5,,,,
1999-2000,All,2-19,Non-Hispanic White,Iron,16.3,0.8,17.8,14.7,,,,
1999-2000,All,2-19,Non-Hispanic Black,Iron,15.0,0.7,16.3,13.7,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Iron,14.3,0.3,14.8,13.7,,,,
1999-2000,All,2-5,All,Iron,12.4,0.4,11.6,13.1,,,,
1999-2000,All,6-11,All,Iron,14.5,0.5,13.5,15.5,,,,
1999-2000,All,12-19,All,Iron,15.6,0.6,14.5,16.8,,,,
1999-2000,All,20 and over,All,Iron,15.4,0.3,16.1,14.7,,,,
1999-2000,All,20 and over,Non-Hispanic White,Iron,15.9,0.5,16.8,15.0,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Iron,14.4,0.4,15.2,13.6,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Iron,14.3,0.4,15.1,13.6,,,,
1999-2000,All,20-29,All,Iron,15.3,0.5,14.4,16.2,,,,
1999-2000,All,30-39,All,Iron,16.1,0.5,15.0,17.2,,,,
1999-2000,All,40-49,All,Iron,15.2,0.5,14.2,16.1,,,,
1999-2000,All,50-59,All,Iron,15.6,0.7,14.2,17.1,,,,
1999-2000,All,60-69,All,Iron,15.0,0.4,14.1,15.8,,,,
1999-2000,All,70 and over,All,Iron,14.6,0.5,13.7,15.6,,,,
1999-2000,Female,2-19,All,Iron,13.0,0.5,13.9,12.2,,,,
1999-2000,Female,2-5,All,Iron,11.7,0.5,10.8,12.6,,,,
1999-2000,Female,6-11,All,Iron,13.4,0.4,12.6,14.2,,,,
1999-2000,Female,12-19,All,Iron,13.0,0.5,12.2,13.9,,,,
1999-2000,Female,20 and over,All,Iron,13.4,0.3,14.0,12.7,,,,
1999-2000,Female,20-29,All,Iron,13.3,0.6,12.1,14.6,,,,
1999-2000,Female,30-39,All,Iron,13.9,0.5,12.9,14.8,,,,
1999-2000,Female,40-49,All,Iron,13.1,0.6,12.0,14.3,,,,
1999-2000,Female,50-59,All,Iron,13.7,0.8,12.2,15.3,,,,
1999-2000,Female,60-69,All,Iron,12.7,0.4,12.0,13.5,,,,
1999-2000,Female,70 and over,All,Iron,12.9,0.5,11.9,13.9,,,,
1999-2000,Male,2-19,All,Iron,18.1,0.8,19.7,16.6,,,,
1999-2000,Male,2-5,All,Iron,13.1,0.7,11.8,14.4,,,,
1999-2000,Male,6-11,All,Iron,15.5,0.9,13.7,17.2,,,,
1999-2000,Male,12-19,All,Iron,18.1,0.8,16.6,19.7,,,,
1999-2000,Male,20 and over,All,Iron,17.6,0.4,18.4,16.9,,,,
1999-2000,Male,20-29,All,Iron,17.3,0.8,15.7,18.9,,,,
1999-2000,Male,30-39,All,Iron,18.5,0.8,16.8,20.1,,,,
1999-2000,Male,40-49,All,Iron,17.4,0.6,16.2,18.7,,,,
1999-2000,Male,50-59,All,Iron,17.5,0.9,15.7,19.2,,,,
1999-2000,Male,60-69,All,Iron,17.5,0.9,15.8,19.2,,,,
1999-2000,Male,70 and over,All,Iron,17.1,0.6,16.0,18.2,,,,
1999-2000,All,2-19,All,Potassium,2283.1,42.3,2366.7,2199.6,,,,
1999-2000,All,2-19,Non-Hispanic White,Potassium,2559.1,93.0,2742.8,2375.3,,,,
1999-2000,All,2-19,Non-Hispanic Black,Potassium,2146.9,59.3,2264.1,2029.6,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Potassium,2280.6,58.5,2396.1,2165.1,,,,
1999-2000,All,2-5,All,Potassium,2082.7,50.3,1983.4,2182.0,,,,
1999-2000,All,6-11,All,Potassium,2211.1,55.5,2101.4,2320.7,,,,
1999-2000,All,12-19,All,Potassium,2440.1,81.2,2279.6,2600.6,,,,
1999-2000,All,20 and over,All,Potassium,2778.5,48.0,2873.4,2683.7,,,,
1999-2000,All,20 and over,Non-Hispanic White,Potassium,2892.1,66.2,3022.8,2761.4,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Potassium,2385.1,57.4,2498.4,2271.7,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Potassium,2713.3,65.1,2841.9,2584.7,,,,
1999-2000,All,20-29,All,Potassium,2622.0,51.3,2520.7,2723.2,,,,
1999-2000,All,30-39,All,Potassium,2800.0,89.4,2623.4,2976.6,,,,
1999-2000,All,40-49,All,Potassium,2913.2,100.0,2715.6,3110.7,,,,
1999-2000,All,50-59,All,Potassium,2924.0,99.8,2726.8,3121.1,,,,
1999-2000,All,60-69,All,Potassium,2813.4,42.2,2730.1,2896.6,,,,
1999-2000,All,70 and over,All,Potassium,2564.6,62.0,2442.1,2687.1,,,,
1999-2000,Female,2-19,All,Potassium,2093.6,41.5,2175.5,2011.8,,,,
1999-2000,Female,2-5,All,Potassium,1949.8,57.0,1837.3,2062.4,,,,
1999-2000,Female,6-11,All,Potassium,2141.9,83.8,1976.3,2307.4,,,,
1999-2000,Female,12-19,All,Potassium,2131.6,37.2,2058.1,2205.2,,,,
1999-2000,Female,20 and over,All,Potassium,2412.1,61.7,2534.0,2290.2,,,,
1999-2000,Female,20-29,All,Potassium,2283.6,77.9,2129.7,2437.6,,,,
1999-2000,Female,30-39,All,Potassium,2377.5,100.1,2179.7,2575.3,,,,
1999-2000,Female,40-49,All,Potassium,2490.8,100.1,2293.0,2688.6,,,,
1999-2000,Female,50-59,All,Potassium,2573.7,130.3,2316.3,2831.0,,,,
1999-2000,Female,60-69,All,Potassium,2516.5,63.9,2390.2,2642.9,,,,
1999-2000,Female,70 and over,All,Potassium,2279.0,64.0,2152.5,2405.4,,,,
1999-2000,Male,2-19,All,Potassium,2463.3,63.2,2588.1,2338.4,,,,
1999-2000,Male,2-5,All,Potassium,2218.9,81.5,2057.9,2379.9,,,,
1999-2000,Male,6-11,All,Potassium,2273.0,111.5,2052.7,2493.3,,,,
1999-2000,Male,12-19,All,Potassium,2735.8,140.6,2458.0,3013.6,,,,
1999-2000,Male,20 and over,All,Potassium,3178.6,41.5,3260.7,3096.6,,,,
1999-2000,Male,20-29,All,Potassium,2968.0,63.6,2842.3,3093.7,,,,
1999-2000,Male,30-39,All,Potassium,3245.4,141.9,2965.1,3525.6,,,,
1999-2000,Male,40-49,All,Potassium,3388.2,117.3,3156.5,3619.9,,,,
1999-2000,Male,50-59,All,Potassium,3267.9,103.0,3064.5,3471.3,,,,
1999-2000,Male,60-69,All,Potassium,3149.1,96.5,2958.5,3339.7,,,,
1999-2000,Male,70 and over,All,Potassium,2966.4,99.3,2770.2,3162.6,,,,
1999-2000,All,2-19,All,Saturated Fat,28.9,0.7,27.4,30.3,,,,
1999-2000,All,2-19,Non-Hispanic White,Saturated Fat,29.9,1.3,27.3,32.5,,,,
1999-2000,All,2-19,Non-Hispanic Black,Saturated Fat,28.0,0.9,26.3,29.8,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Saturated Fat,25.9,0.8,24.4,27.4,,,,
1999-2000,All,2-5,All,Saturated Fat,20.9,0.9,19.2,22.7,,,,
1999-2000,All,6-11,All,Saturated Fat,26.7,0.9,24.8,28.5,,,,
1999-2000,All,12-19,All,Saturated Fat,28.9,0.7,27.4,30.3,,,,
1999-2000,All,20 and over,All,Saturated Fat,27.0,0.4,26.3,27.8,,,,
1999-2000,All,20 and over,Non-Hispanic White,Saturated Fat,28.4,0.5,27.5,29.3,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Saturated Fat,24.5,0.7,23.2,25.9,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Saturated Fat,24.3,0.9,22.6,26.1,,,,
1999-2000,All,20-29,All,Saturated Fat,29.8,0.6,28.7,30.9,,,,
1999-2000,All,30-39,All,Saturated Fat,29.2,0.9,27.4,31.0,,,,
1999-2000,All,40-49,All,Saturated Fat,28.4,0.9,26.6,30.3,,,,
1999-2000,All,50-59,All,Saturated Fat,26.2,1.2,23.9,28.5,,,,
1999-2000,All,60-69,All,Saturated Fat,23.4,0.9,21.7,25.1,,,,
1999-2000,All,70 and over,All,Saturated Fat,19.5,0.6,18.4,20.6,,,,
1999-2000,Female,2-19,All,Saturated Fat,24.0,0.8,22.5,25.5,,,,
1999-2000,Female,2-5,All,Saturated Fat,19.3,1.0,17.3,21.3,,,,
1999-2000,Female,6-11,All,Saturated Fat,25.6,1.0,23.6,27.6,,,,
1999-2000,Female,12-19,All,Saturated Fat,24.0,0.8,22.5,25.5,,,,
1999-2000,Female,20 and over,All,Saturated Fat,22.6,0.5,21.7,23.6,,,,
1999-2000,Female,20-29,All,Saturated Fat,25.3,1.0,23.4,27.2,,,,
1999-2000,Female,30-39,All,Saturated Fat,23.8,0.7,22.4,25.3,,,,
1999-2000,Female,40-49,All,Saturated Fat,23.5,1.0,21.5,25.6,,,,
1999-2000,Female,50-59,All,Saturated Fat,22.0,1.5,19.0,25.0,,,,
1999-2000,Female,60-69,All,Saturated Fat,20.8,1.3,18.2,23.3,,,,
1999-2000,Female,70 and over,All,Saturated Fat,16.9,0.8,15.4,18.4,,,,
1999-2000,Male,2-19,All,Saturated Fat,33.6,1.2,31.3,35.9,,,,
1999-2000,Male,2-5,All,Saturated Fat,22.6,1.0,20.5,24.6,,,,
1999-2000,Male,6-11,All,Saturated Fat,27.7,1.7,24.2,31.1,,,,
1999-2000,Male,12-19,All,Saturated Fat,33.6,1.2,31.3,35.9,,,,
1999-2000,Male,20 and over,All,Saturated Fat,31.9,0.4,31.0,32.7,,,,
1999-2000,Male,20-29,All,Saturated Fat,34.4,1.0,32.4,36.5,,,,
1999-2000,Male,30-39,All,Saturated Fat,34.9,1.1,32.7,37.1,,,,
1999-2000,Male,40-49,All,Saturated Fat,33.9,1.4,31.2,36.7,,,,
1999-2000,Male,50-59,All,Saturated Fat,30.3,1.5,27.4,33.3,,,,
1999-2000,Male,60-69,All,Saturated Fat,26.4,1.3,23.9,29.0,,,,
1999-2000,Male,70 and over,All,Saturated Fat,23.2,0.6,21.9,24.5,,,,
1999-2000,All,2-19,All,Sodium,3492.7,78.3,3337.9,3647.4,,,,
1999-2000,All,2-19,Non-Hispanic White,Sodium,3509.9,106.5,3299.5,3720.4,,,,
1999-2000,All,2-19,Non-Hispanic Black,Sodium,3546.8,115.5,3318.6,3774.9,,,,
1999-2000,All,2-19,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,2-19,Mexican American,Sodium,2976.2,78.5,2821.1,3131.3,,,,
1999-2000,All,2-5,All,Sodium,2459.4,71.4,2318.4,2600.4,,,,
1999-2000,All,6-11,All,Sodium,3233.0,130.2,2975.7,3490.2,,,,
1999-2000,All,12-19,All,Sodium,3492.7,78.3,3337.9,3647.4,,,,
1999-2000,All,20 and over,All,Sodium,3459.5,62.5,3336.0,3582.9,,,,
1999-2000,All,20 and over,Non-Hispanic White,Sodium,3538.8,72.6,3395.3,3682.3,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Sodium,3245.0,96.9,3053.7,3436.4,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Sodium,3127.7,83.6,2962.6,3292.9,,,,
1999-2000,All,20-29,All,Sodium,3762.5,70.3,3623.7,3901.3,,,,
1999-2000,All,30-39,All,Sodium,3641.3,137.8,3369.1,3913.4,,,,
1999-2000,All,40-49,All,Sodium,3536.6,90.7,3357.5,3715.7,,,,
1999-2000,All,50-59,All,Sodium,3450.0,121.9,3209.2,3690.7,,,,
1999-2000,All,60-69,All,Sodium,3114.4,70.2,2975.8,3252.9,,,,
1999-2000,All,70 and over,All,Sodium,2733.8,67.3,2600.8,2866.8,,,,
1999-2000,Female,2-19,All,Sodium,2926.0,64.5,2798.6,3053.3,,,,
1999-2000,Female,2-5,All,Sodium,2300.2,96.9,2108.7,2491.7,,,,
1999-2000,Female,6-11,All,Sodium,2969.0,57.4,2855.6,3082.4,,,,
1999-2000,Female,12-19,All,Sodium,2926.0,64.5,2798.6,3053.3,,,,
1999-2000,Female,20 and over,All,Sodium,2915.9,58.8,2799.6,3032.1,,,,
1999-2000,Female,20-29,All,Sodium,3144.1,107.5,2931.8,3356.5,,,,
1999-2000,Female,30-39,All,Sodium,3046.7,97.9,2853.4,3240.0,,,,
1999-2000,Female,40-49,All,Sodium,3056.2,114.7,2829.6,3282.8,,,,
1999-2000,Female,50-59,All,Sodium,2838.4,115.5,2610.2,3066.6,,,,
1999-2000,Female,60-69,All,Sodium,2664.4,65.7,2534.7,2794.1,,,,
1999-2000,Female,70 and over,All,Sodium,2392.9,73.4,2248.0,2537.9,,,,
1999-2000,Male,2-19,All,Sodium,4036.0,180.5,3679.4,4392.5,,,,
1999-2000,Male,2-5,All,Sodium,2622.6,110.1,2405.2,2840.1,,,,
1999-2000,Male,6-11,All,Sodium,3469.4,230.5,3014.0,3924.9,,,,
1999-2000,Male,12-19,All,Sodium,4036.0,180.5,3679.4,4392.5,,,,
1999-2000,Male,20 and over,All,Sodium,4053.1,74.8,3905.2,4200.9,,,,
1999-2000,Male,20-29,All,Sodium,4395.0,115.6,4166.6,4623.5,,,,
1999-2000,Male,30-39,All,Sodium,4268.1,178.0,3916.4,4619.8,,,,
1999-2000,Male,40-49,All,Sodium,4076.9,116.0,3847.8,4306.1,,,,
1999-2000,Male,50-59,All,Sodium,4050.4,172.8,3709.0,4391.8,,,,
1999-2000,Male,60-69,All,Sodium,3623.3,158.7,3309.9,3936.8,,,,
1999-2000,Male,70 and over,All,Sodium,3213.4,93.4,3029.0,3397.9,,,,
1999-2000,All,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,2-19,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,2-19,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,2-19,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,2-19,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,2-19,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20 and over,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20 and over,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20 and over,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,20 and over,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,20 and over,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
